Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Female,Yes,Graduate,Yes,9288,972,67,180,1,Urban,Approved
Female,No,Graduate,No,11795,1640,129,300,1,Semiurban,Approved
Female,No,Not Graduate,No,6434,2993,474,180,0,Rural,Rejected
Male,No,Graduate,Yes,18224,8005,467,240,0,Semiurban,Rejected
Male,No,Graduate,Yes,5169,7361,160,300,0,Urban,Rejected
Female,No,Not Graduate,Yes,8407,6079,271,360,0,Urban,Rejected
Female,Yes,Graduate,Yes,6587,5708,143,300,1,Rural,Approved
Female,Yes,Graduate,Yes,9522,3475,126,300,1,Semiurban,Approved
Male,Yes,Graduate,Yes,7258,5284,100,180,1,Semiurban,Approved
Male,No,Not Graduate,No,11662,7887,293,300,0,Semiurban,Rejected
Male,Yes,Graduate,No,11447,8082,608,240,1,Semiurban,Approved
Female,No,Graduate,Yes,8829,3797,187,180,1,Semiurban,Approved
Male,No,Not Graduate,No,13990,9887,120,300,0,Urban,Rejected
Male,Yes,Not Graduate,No,10067,5810,198,240,0,Semiurban,Rejected
Female,Yes,Graduate,Yes,13378,4737,366,180,0,Rural,Rejected
Female,Yes,Graduate,Yes,14563,2772,71,360,1,Urban,Approved
Female,Yes,Not Graduate,Yes,2393,27,635,300,0,Rural,Rejected
Female,No,Not Graduate,Yes,5221,3470,397,240,1,Semiurban,Approved
Male,Yes,Graduate,No,15229,3786,629,240,1,Semiurban,Approved
Male,No,Not Graduate,No,14042,5057,359,240,1,Rural,Approved
Female,Yes,Not Graduate,No,2636,5009,627,300,0,Semiurban,Rejected
Male,Yes,Not Graduate,No,14196,9344,679,240,1,Urban,Approved
Female,No,Graduate,Yes,5082,1440,402,300,1,Urban,Approved
Female,No,Not Graduate,No,17261,1775,193,300,1,Rural,Approved
Female,No,Graduate,Yes,8538,8203,586,180,1,Urban,Approved
Female,Yes,Graduate,Yes,3368,4420,204,240,1,Rural,Rejected
Female,Yes,Not Graduate,Yes,3375,7339,655,240,0,Rural,Rejected
Female,No,Graduate,No,12648,3760,261,300,0,Semiurban,Rejected
Male,Yes,Not Graduate,No,17581,7442,132,180,1,Rural,Approved
Female,Yes,Graduate,Yes,4073,3838,470,300,0,Semiurban,Rejected
Female,Yes,Graduate,No,4156,5715,248,300,0,Urban,Rejected
Male,Yes,Graduate,No,4524,8527,348,360,0,Urban,Rejected
Male,Yes,Not Graduate,No,19386,4864,454,240,0,Rural,Rejected
Female,Yes,Graduate,No,18061,1562,360,300,0,Urban,Rejected
Male,Yes,Not Graduate,No,11663,4081,693,300,1,Semiurban,Approved
Male,Yes,Not Graduate,No,14734,8199,380,180,0,Semiurban,Rejected
Male,No,Graduate,No,18163,8309,450,300,0,Urban,Rejected
Male,No,Graduate,No,19413,3140,81,300,1,Urban,Approved
Male,Yes,Graduate,No,16829,5346,603,360,1,Semiurban,Approved
Female,No,Graduate,No,18531,7243,571,300,0,Semiurban,Rejected
Female,Yes,Graduate,Yes,14722,8057,610,180,1,Rural,Approved
Female,Yes,Graduate,Yes,19214,5479,685,240,1,Rural,Approved
Male,No,Graduate,No,19514,9168,156,300,0,Urban,Rejected
Male,No,Not Graduate,No,13993,487,651,300,0,Semiurban,Rejected
Male,Yes,Not Graduate,Yes,14544,7974,444,240,1,Urban,Approved
Female,No,Graduate,No,9602,8292,493,240,0,Urban,Rejected
Male,Yes,Graduate,Yes,17393,9979,474,180,1,Urban,Approved
Male,Yes,Not Graduate,Yes,2072,2316,151,360,1,Urban,Rejected
